"TAXONOMIC.ORDER","SCIENTIFIC.NAME","COMMON.NAME","STATUS","COUNT","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
226,"Dendrocygna bicolor","Fulvous Whistling-Duck","Sporadic",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
233,"Dendrocygna javanica","Lesser Whistling-Duck","Regular",20,19,21,24,17,48,44,25,34,38,29,67,118,854,2086,2496,3032,3306,3791,4428,4253
240,"Anser indicus","Bar-headed Goose","Sporadic",12,2,0,0,2,0,0,0,0,0,2,3,0,1,8,2,29,6,15,19,1
354,"Sarkidiornis melanotos","Knob-billed Duck","Sporadic",11,0,1,1,0,0,0,0,0,0,0,1,5,0,8,11,44,11,4,12,17
376,"Tadorna ferruginea","Ruddy Shelduck","Sporadic",7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,58,2,4,0
401,"Nettapus coromandelianus","Cotton Pygmy-Goose","Regular",20,11,13,16,10,21,19,13,12,22,15,41,46,321,654,508,891,721,817,702,765
425,"Spatula querquedula","Garganey","Regular",20,12,16,15,10,18,19,5,16,17,6,25,44,107,296,433,805,713,645,566,517
443,"Spatula clypeata","Northern Shoveler","Sporadic",16,0,0,2,0,1,3,0,1,1,1,5,3,12,44,107,256,103,131,95,100
447,"Mareca strepera","Gadwall","Sporadic",9,0,0,0,0,0,0,0,1,1,0,0,0,1,2,4,3,1,1,0,1
454,"Mareca penelope","Eurasian Wigeon","Sporadic",13,0,0,1,0,0,0,1,0,2,1,0,1,2,6,12,47,8,5,5,3
478,"Anas poecilorhyncha","Indian Spot-billed Duck","Regular",20,7,8,8,6,7,6,1,10,13,6,16,54,245,359,701,1221,816,808,852,674
526,"Anas acuta","Northern Pintail","Regular",20,11,14,15,12,14,13,5,11,16,6,29,33,66,117,243,421,356,281,303,234
541,"Anas crecca","Green-winged Teal","Regular",20,3,4,5,2,4,2,1,3,3,1,3,4,3,26,50,116,106,83,39,29
595,"Aythya ferina","Common Pochard","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
600,"Aythya nyroca","Ferruginous Duck","Sporadic",6,1,0,0,0,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,0
609,"Aythya fuligula","Tufted Duck","Sporadic",2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1471,"Pavo cristatus","Indian Peafowl","Regular",20,3,4,2,1,6,4,13,38,14,23,19,30,274,725,1425,2175,1836,2248,4024,3748
1494,"Galloperdix spadicea","Red Spurfowl","Sporadic",19,0,12,8,1,35,20,47,24,17,36,37,35,149,263,345,577,721,857,973,735
1498,"Galloperdix lunulata","Painted Spurfowl","Sporadic",9,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,1,2,6,1,4
1529,"Gallus sonneratii","Gray Junglefowl","Regular",20,8,37,21,5,101,61,165,118,106,144,117,117,301,551,714,1015,1190,1764,1256,1214
1541,"Ortygornis pondicerianus","Gray Francolin","Sporadic",16,0,2,0,0,1,0,1,11,1,5,2,3,18,94,223,205,141,166,518,332
1627,"Synoicus chinensis","Blue-breasted Quail","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1644,"Coturnix coromandelica","Rain Quail","Sporadic",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,9,13,1
1685,"Perdicula asiatica","Jungle Bush-Quail","Sporadic",16,1,0,0,0,1,1,2,2,0,2,1,1,26,30,17,16,7,8,41,30
1695,"Perdicula erythrorhyncha","Painted Bush-Quail","Sporadic",19,1,1,4,0,6,1,7,6,5,2,11,9,11,21,26,37,43,38,28,41
1745,"Phoenicopterus roseus","Greater Flamingo","Sporadic",9,0,0,2,0,0,0,0,0,0,0,0,0,4,54,23,56,73,83,32,1
1747,"Phoeniconaias minor","Lesser Flamingo","Sporadic",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
1758,"Tachybaptus ruficollis","Little Grebe","Regular",20,9,21,19,7,29,25,9,11,15,8,47,73,377,603,851,1052,681,841,709,812
1827,"Columba livia","Rock Pigeon","Regular",20,3,19,9,12,30,21,38,30,39,50,56,84,1574,4476,6605,8068,13960,12433,15617,13332
1891,"Columba elphinstonii","Nilgiri Wood-Pigeon","Sporadic",19,1,8,2,0,16,15,22,24,20,17,32,29,41,52,69,87,123,156,63,134
1988,"Streptopelia orientalis","Oriental Turtle-Dove","Sporadic",11,0,0,0,0,1,0,0,0,0,1,0,2,1,7,13,18,15,16,69,87
1997,"Streptopelia decaocto","Eurasian Collared-Dove","Sporadic",12,0,0,0,0,1,1,1,0,0,0,2,1,1,3,0,2,3,4,2,2
2024,"Streptopelia tranquebarica","Red Collared-Dove","Sporadic",8,0,0,0,0,0,0,0,0,0,0,0,0,4,11,9,9,11,7,3,4
2034,"Streptopelia chinensis","Spotted Dove","Regular",20,10,40,11,13,80,39,97,107,61,97,119,116,1105,2217,3349,5128,5293,6240,8183,7932
2039,"Streptopelia senegalensis","Laughing Dove","Sporadic",16,1,1,0,0,2,0,1,1,0,7,4,4,28,27,31,22,29,30,19,27
