"Sl No.","Species","eBird Name","BR","NBR","WM","SM","PM","V","H","P","N","CATEGORY"
20,"Rain Quail Coturnix coromandelica","Rain Quail","Recent",NA,"Regular",NA,NA,NA,NA,NA,NA,"VISTING ONLY"
295,"Oriental Dwarf Kingfisher Ceyx erithaca","Black-backed Dwarf-Kingfisher","Sporadic",NA,"Regular",NA,NA,NA,NA,NA,NA,"VISTING ONLY"
197,"Painted Stork Mycteria leucocephala","Painted Stork","Regular",NA,"Regular",NA,NA,NA,NA,NA,NA,"BREEDING & VISITING"
104,"Pheasant-tailed Jacana Hydrophasianus chirurgus","Pheasant-tailed Jacana","Regular",NA,"Sporadic",NA,NA,NA,NA,NA,NA,"BREEDING & VISITING"
333,"Peregrine Falcon Falco peregrinus","Peregrine Falcon","Regular",NA,"Recent",NA,NA,NA,NA,NA,NA,"BREEDING ONLY"
143,"Indian Courser Cursorius coromandelicus","Indian Courser","Recent",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
281,"Jungle Owlet Glaucidium radiatum","Jungle Owlet","Sporadic",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
368,"House Crow Corvus splendens","House Crow","Regular",NA,NA,NA,NA,NA,NA,NA,NA,"BREEDING ONLY"
106,"Whimbrel Numenius phaeopus","Whimbrel",NA,NA,"Recent",NA,NA,NA,NA,NA,NA,"NA"
448,"Rosy Starling Pastor roseus","Rosy Starling",NA,NA,"Sporadic",NA,NA,NA,NA,NA,NA,"VISTING ONLY"
41,"Chestnut-bellied Sandgrouse Pterocles exustus","Chestnut-bellied Sandgrouse",NA,NA,"Regular",NA,NA,NA,NA,NA,NA,"VISTING ONLY"
303,"Blue-cheeked Bee-eater Merops persicus","Blue-cheeked Bee-eater","Sporadic","Sporadic",NA,NA,NA,NA,NA,NA,NA,"NA"
150,"Arctic Skua Stercorarius parasiticus","Parasitic Jaeger",NA,"?","Regular",NA,NA,NA,NA,"X",NA,"NA"
126,"Eurasian Woodcock Scolopax rusticola","Eurasian Woodcock",NA,NA,NA,NA,NA,"X",NA,NA,NA,"NA"
64,"Savanna Nightjar Caprimulgus affinis","Savanna Nightjar","Recent",NA,"Regular",NA,NA,NA,NA,NA,"X","NA"
